,name,alternating,positive,alexander_polynomial
113,10_29,Y,N,1-7*t+15*t^2-17*t^3+15*t^4-7*t^5+t^6
114,10_30,Y,N,4-17*t+25*t^2-17*t^3+4*t^4
115,10_31,Y,N,4-14*t+21*t^2-14*t^3+4*t^4
116,10_32,Y,N,2-8*t+15*t^2-19*t^3+15*t^4-8*t^5+2*t^6
117,10_33,Y,N,4-16*t+25*t^2-16*t^3+4*t^4
118,10_34,Y,N,3-9*t+13*t^2-9*t^3+3*t^4
119,10_35,Y,N,2-12*t+21*t^2-12*t^3+2*t^4
120,10_36,Y,N,3-13*t+19*t^2-13*t^3+3*t^4
121,10_37,Y,N,4-13*t+19*t^2-13*t^3+4*t^4
122,10_38,Y,N,4-15*t+21*t^2-15*t^3+4*t^4
123,10_39,Y,N,2-8*t+13*t^2-15*t^3+13*t^4-8*t^5+2*t^6
124,10_40,Y,N,2-8*t+17*t^2-21*t^3+17*t^4-8*t^5+2*t^6
125,10_41,Y,N,1-7*t+17*t^2-21*t^3+17*t^4-7*t^5+t^6
126,10_42,Y,N,1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
127,10_43,Y,N,1-7*t+17*t^2-23*t^3+17*t^4-7*t^5+t^6
128,10_44,Y,N,1-7*t+19*t^2-25*t^3+19*t^4-7*t^5+t^6
129,10_45,Y,N,1-7*t+21*t^2-31*t^3+21*t^4-7*t^5+t^6
130,10_46,Y,N,1-3*t+4*t^2-5*t^3+5*t^4-5*t^5+4*t^6-3*t^7+t^8
131,10_47,Y,N,1-3*t+6*t^2-7*t^3+7*t^4-7*t^5+6*t^6-3*t^7+t^8
132,10_48,Y,N,1-3*t+6*t^2-9*t^3+11*t^4-9*t^5+6*t^6-3*t^7+t^8
133,10_49,Y,Y,3-8*t+12*t^2-13*t^3+12*t^4-8*t^5+3*t^6
134,10_50,Y,N,2-7*t+11*t^2-13*t^3+11*t^4-7*t^5+2*t^6
135,10_51,Y,N,2-7*t+15*t^2-19*t^3+15*t^4-7*t^5+2*t^6
136,10_52,Y,N,2-7*t+13*t^2-15*t^3+13*t^4-7*t^5+2*t^6
137,10_53,Y,Y,6-18*t+25*t^2-18*t^3+6*t^4
138,10_54,Y,N,2-6*t+10*t^2-11*t^3+10*t^4-6*t^5+2*t^6
139,10_55,Y,Y,5-15*t+21*t^2-15*t^3+5*t^4
140,10_56,Y,N,2-8*t+14*t^2-17*t^3+14*t^4-8*t^5+2*t^6
141,10_57,Y,N,2-8*t+18*t^2-23*t^3+18*t^4-8*t^5+2*t^6
142,10_58,Y,N,3-16*t+27*t^2-16*t^3+3*t^4
143,10_59,Y,N,1-7*t+18*t^2-23*t^3+18*t^4-7*t^5+t^6
144,10_60,Y,N,1-7*t+20*t^2-29*t^3+20*t^4-7*t^5+t^6
145,10_61,Y,N,2-5*t+6*t^2-7*t^3+6*t^4-5*t^5+2*t^6
146,10_62,Y,N,1-3*t+6*t^2-8*t^3+9*t^4-8*t^5+6*t^6-3*t^7+t^8
147,10_63,Y,Y,5-14*t+19*t^2-14*t^3+5*t^4
148,10_64,Y,N,1-3*t+6*t^2-10*t^3+11*t^4-10*t^5+6*t^6-3*t^7+t^8
149,10_65,Y,N,2-7*t+14*t^2-17*t^3+14*t^4-7*t^5+2*t^6
150,10_66,Y,Y,3-9*t+16*t^2-19*t^3+16*t^4-9*t^5+3*t^6
151,10_67,Y,N,4-16*t+23*t^2-16*t^3+4*t^4
152,10_68,Y,N,4-14*t+21*t^2-14*t^3+4*t^4
153,10_69,Y,N,1-7*t+21*t^2-29*t^3+21*t^4-7*t^5+t^6
154,10_70,Y,N,1-7*t+16*t^2-19*t^3+16*t^4-7*t^5+t^6
155,10_71,Y,N,1-7*t+18*t^2-25*t^3+18*t^4-7*t^5+t^6
156,10_72,Y,N,2-9*t+16*t^2-19*t^3+16*t^4-9*t^5+2*t^6
157,10_73,Y,N,1-7*t+20*t^2-27*t^3+20*t^4-7*t^5+t^6
158,10_74,Y,N,4-16*t+23*t^2-16*t^3+4*t^4
159,10_75,Y,N,1-7*t+19*t^2-27*t^3+19*t^4-7*t^5+t^6
160,10_76,Y,N,2-7*t+12*t^2-15*t^3+12*t^4-7*t^5+2*t^6
161,10_77,Y,N,2-7*t+14*t^2-17*t^3+14*t^4-7*t^5+2*t^6
162,10_78,Y,N,1-7*t+16*t^2-21*t^3+16*t^4-7*t^5+t^6
163,10_79,Y,N,1-3*t+7*t^2-12*t^3+15*t^4-12*t^5+7*t^6-3*t^7+t^8
164,10_80,Y,Y,3-9*t+15*t^2-17*t^3+15*t^4-9*t^5+3*t^6
165,10_81,Y,N,1-8*t+20*t^2-27*t^3+20*t^4-8*t^5+t^6
166,10_82,Y,N,1-4*t+8*t^2-12*t^3+13*t^4-12*t^5+8*t^6-4*t^7+t^8
167,10_83,Y,N,2-9*t+19*t^2-23*t^3+19*t^4-9*t^5+2*t^6
168,10_84,Y,N,2-9*t+20*t^2-25*t^3+20*t^4-9*t^5+2*t^6
169,10_85,Y,N,1-4*t+8*t^2-10*t^3+11*t^4-10*t^5+8*t^6-4*t^7+t^8
170,10_86,Y,N,2-9*t+19*t^2-25*t^3+19*t^4-9*t^5+2*t^6
171,10_87,Y,N,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
172,10_88,Y,N,1-8*t+24*t^2-35*t^3+24*t^4-8*t^5+t^6
173,10_89,Y,N,1-8*t+24*t^2-33*t^3+24*t^4-8*t^5+t^6
174,10_90,Y,N,2-8*t+17*t^2-23*t^3+17*t^4-8*t^5+2*t^6
175,10_91,Y,N,1-4*t+9*t^2-14*t^3+17*t^4-14*t^5+9*t^6-4*t^7+t^8
176,10_92,Y,N,2-10*t+20*t^2-25*t^3+20*t^4-10*t^5+2*t^6
177,10_93,Y,N,2-8*t+15*t^2-17*t^3+15*t^4-8*t^5+2*t^6
178,10_94,Y,N,1-4*t+9*t^2-14*t^3+15*t^4-14*t^5+9*t^6-4*t^7+t^8
179,10_95,Y,N,2-9*t+21*t^2-27*t^3+21*t^4-9*t^5+2*t^6
180,10_96,Y,N,1-7*t+22*t^2-33*t^3+22*t^4-7*t^5+t^6
181,10_97,Y,N,5-22*t+33*t^2-22*t^3+5*t^4
182,10_98,Y,N,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
183,10_99,Y,N,1-4*t+10*t^2-16*t^3+19*t^4-16*t^5+10*t^6-4*t^7+t^8
184,10_100,Y,N,1-4*t+9*t^2-12*t^3+13*t^4-12*t^5+9*t^6-4*t^7+t^8
185,10_101,Y,Y,7-21*t+29*t^2-21*t^3+7*t^4
186,10_102,Y,N,2-8*t+16*t^2-21*t^3+16*t^4-8*t^5+2*t^6
187,10_103,Y,N,2-8*t+17*t^2-21*t^3+17*t^4-8*t^5+2*t^6
188,10_104,Y,N,1-4*t+9*t^2-15*t^3+19*t^4-15*t^5+9*t^6-4*t^7+t^8
189,10_105,Y,N,1-8*t+22*t^2-29*t^3+22*t^4-8*t^5+t^6
190,10_106,Y,N,1-4*t+9*t^2-15*t^3+17*t^4-15*t^5+9*t^6-4*t^7+t^8
191,10_107,Y,N,1-8*t+22*t^2-31*t^3+22*t^4-8*t^5+t^6
192,10_108,Y,N,2-8*t+14*t^2-15*t^3+14*t^4-8*t^5+2*t^6
193,10_109,Y,N,1-4*t+10*t^2-17*t^3+21*t^4-17*t^5+10*t^6-4*t^7+t^8
194,10_110,Y,N,1-8*t+20*t^2-25*t^3+20*t^4-8*t^5+t^6
195,10_111,Y,N,2-9*t+17*t^2-21*t^3+17*t^4-9*t^5+2*t^6
196,10_112,Y,N,1-5*t+11*t^2-17*t^3+19*t^4-17*t^5+11*t^6-5*t^7+t^8
197,10_113,Y,N,2-11*t+26*t^2-33*t^3+26*t^4-11*t^5+2*t^6
198,10_114,Y,N,2-10*t+21*t^2-27*t^3+21*t^4-10*t^5+2*t^6
199,10_115,Y,N,1-9*t+26*t^2-37*t^3+26*t^4-9*t^5+t^6
200,10_116,Y,N,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
201,10_117,Y,N,2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
202,10_118,Y,N,1-5*t+12*t^2-19*t^3+23*t^4-19*t^5+12*t^6-5*t^7+t^8
203,10_119,Y,N,2-10*t+23*t^2-31*t^3+23*t^4-10*t^5+2*t^6
204,10_120,Y,Y,8-26*t+37*t^2-26*t^3+8*t^4
205,10_121,Y,N,2-11*t+27*t^2-35*t^3+27*t^4-11*t^5+2*t^6
206,10_122,Y,N,2-11*t+24*t^2-31*t^3+24*t^4-11*t^5+2*t^6
207,10_123,Y,N,1-6*t+15*t^2-24*t^3+29*t^4-24*t^5+15*t^6-6*t^7+t^8
208,10_124,N,Y,1-t+t^3-t^4+t^5-t^7+t^8
209,10_125,N,N,1-2*t+2*t^2-t^3+2*t^4-2*t^5+t^6
210,10_126,N,N,1-2*t+4*t^2-5*t^3+4*t^4-2*t^5+t^6
211,10_127,N,N,1-4*t+6*t^2-7*t^3+6*t^4-4*t^5+t^6
212,10_128,N,Y,2-3*t+t^2+t^3+t^4-3*t^5+2*t^6
213,10_129,N,N,2-6*t+9*t^2-6*t^3+2*t^4
214,10_130,N,N,2-4*t+5*t^2-4*t^3+2*t^4
215,10_131,N,N,2-8*t+11*t^2-8*t^3+2*t^4
216,10_132,N,N,1-t+t^2-t^3+t^4
217,10_133,N,N,1-5*t+7*t^2-5*t^3+t^4
218,10_134,N,Y,2-4*t+4*t^2-3*t^3+4*t^4-4*t^5+2*t^6
219,10_135,N,N,3-9*t+13*t^2-9*t^3+3*t^4
220,10_136,N,N,1-4*t+5*t^2-4*t^3+t^4
221,10_137,N,N,1-6*t+11*t^2-6*t^3+t^4
222,10_138,N,N,1-5*t+8*t^2-7*t^3+8*t^4-5*t^5+t^6
223,10_139,N,Y,1-t+2*t^3-3*t^4+2*t^5-t^7+t^8
224,10_140,N,N,1-2*t+3*t^2-2*t^3+t^4
225,10_141,N,N,1-3*t+4*t^2-5*t^3+4*t^4-3*t^5+t^6
226,10_142,N,Y,2-3*t+2*t^2-t^3+2*t^4-3*t^5+2*t^6
227,10_143,N,N,1-3*t+6*t^2-7*t^3+6*t^4-3*t^5+t^6
228,10_144,N,N,3-10*t+13*t^2-10*t^3+3*t^4
229,10_145,N,N,1+t-3*t^2+t^3+t^4
230,10_146,N,N,2-8*t+13*t^2-8*t^3+2*t^4
231,10_147,N,N,2-7*t+9*t^2-7*t^3+2*t^4
232,10_148,N,N,1-3*t+7*t^2-9*t^3+7*t^4-3*t^5+t^6
233,10_149,N,N,1-5*t+9*t^2-11*t^3+9*t^4-5*t^5+t^6
234,10_150,N,N,1-4*t+6*t^2-7*t^3+6*t^4-4*t^5+t^6
235,10_151,N,N,1-4*t+10*t^2-13*t^3+10*t^4-4*t^5+t^6
236,10_152,N,Y,1-t-t^2+4*t^3-5*t^4+4*t^5-t^6-t^7+t^8
237,10_153,N,N,1-t-t^2+3*t^3-t^4-t^5+t^6
238,10_154,N,Y,1-4*t^2+7*t^3-4*t^4+t^6
239,10_155,N,N,1-3*t+5*t^2-7*t^3+5*t^4-3*t^5+t^6
240,10_156,N,N,1-4*t+8*t^2-9*t^3+8*t^4-4*t^5+t^6
241,10_157,N,N,1-6*t+11*t^2-13*t^3+11*t^4-6*t^5+t^6
242,10_158,N,N,1-4*t+10*t^2-15*t^3+10*t^4-4*t^5+t^6
243,10_159,N,N,1-4*t+9*t^2-11*t^3+9*t^4-4*t^5+t^6
244,10_160,N,N,1-4*t+4*t^2-3*t^3+4*t^4-4*t^5+t^6
245,10_161,N,Y,1-2*t^2+3*t^3-2*t^4+t^6
246,10_162,N,N,3-9*t+11*t^2-9*t^3+3*t^4
247,10_163,N,N,1-5*t+12*t^2-15*t^3+12*t^4-5*t^5+t^6
248,10_164,N,N,3-11*t+17*t^2-11*t^3+3*t^4
249,10_165,N,N,2-10*t+15*t^2-10*t^3+2*t^4
250,11a_1,Y,N,2-12*t+30*t^2-39*t^3+30*t^4-12*t^5+2*t^6
251,11a_2,Y,N,3-15*t+31*t^2-39*t^3+31*t^4-15*t^5+3*t^6
252,11a_3,Y,N,1-5*t+13*t^2-24*t^3+29*t^4-24*t^5+13*t^6-5*t^7+t^8
253,11a_4,Y,N,2-10*t+22*t^2-29*t^3+22*t^4-10*t^5+2*t^6
254,11a_5,Y,N,1-9*t+30*t^2-45*t^3+30*t^4-9*t^5+t^6
255,11a_6,Y,N,2-13*t+32*t^2-41*t^3+32*t^4-13*t^5+2*t^6
256,11a_7,Y,N,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
257,11a_8,Y,N,2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
258,11a_9,Y,N,1-5*t+10*t^2-11*t^3+11*t^4-11*t^5+10*t^6-5*t^7+t^8
259,11a_10,Y,N,2-11*t+25*t^2-31*t^3+25*t^4-11*t^5+2*t^6
260,11a_11,Y,N,2-11*t+26*t^2-35*t^3+26*t^4-11*t^5+2*t^6
261,11a_12,Y,N,2-11*t+24*t^2-29*t^3+24*t^4-11*t^5+2*t^6
262,11a_13,Y,N,3-15*t+25*t^2-15*t^3+3*t^4
263,11a_14,Y,N,1-5*t+15*t^2-28*t^3+35*t^4-28*t^5+15*t^6-5*t^7+t^8
264,11a_15,Y,N,1-5*t+13*t^2-22*t^3+25*t^4-22*t^5+13*t^6-5*t^7+t^8
265,11a_16,Y,N,2-10*t+24*t^2-33*t^3+24*t^4-10*t^5+2*t^6
266,11a_17,Y,N,1-10*t+30*t^2-41*t^3+30*t^4-10*t^5+t^6
267,11a_18,Y,N,3-13*t+29*t^2-37*t^3+29*t^4-13*t^5+3*t^6
268,11a_19,Y,N,1-6*t+18*t^2-33*t^3+39*t^4-33*t^5+18*t^6-6*t^7+t^8
269,11a_20,Y,N,3-13*t+25*t^2-31*t^3+25*t^4-13*t^5+3*t^6
270,11a_21,Y,N,5-19*t+27*t^2-19*t^3+5*t^4
271,11a_22,Y,N,1-5*t+13*t^2-20*t^3+23*t^4-20*t^5+13*t^6-5*t^7+t^8
272,11a_23,Y,N,2-10*t+24*t^2-31*t^3+24*t^4-10*t^5+2*t^6
273,11a_24,Y,N,1-6*t+18*t^2-33*t^3+41*t^4-33*t^5+18*t^6-6*t^7+t^8
274,11a_25,Y,N,1-6*t+18*t^2-33*t^3+39*t^4-33*t^5+18*t^6-6*t^7+t^8
275,11a_26,Y,N,1-6*t+18*t^2-33*t^3+41*t^4-33*t^5+18*t^6-6*t^7+t^8
276,11a_27,Y,N,2-13*t+34*t^2-45*t^3+34*t^4-13*t^5+2*t^6
277,11a_28,Y,N,1-6*t+15*t^2-24*t^3+29*t^4-24*t^5+15*t^6-6*t^7+t^8
278,11a_29,Y,N,2-12*t+27*t^2-33*t^3+27*t^4-12*t^5+2*t^6
279,11a_30,Y,N,2-13*t+35*t^2-49*t^3+35*t^4-13*t^5+2*t^6
280,11a_31,Y,N,3-14*t+28*t^2-35*t^3+28*t^4-14*t^5+3*t^6
281,11a_32,Y,N,3-14*t+32*t^2-41*t^3+32*t^4-14*t^5+3*t^6
282,11a_33,Y,N,1-5*t+12*t^2-19*t^3+21*t^4-19*t^5+12*t^6-5*t^7+t^8
283,11a_34,Y,N,1-5*t+14*t^2-25*t^3+29*t^4-25*t^5+14*t^6-5*t^7+t^8
284,11a_35,Y,N,1-5*t+14*t^2-25*t^3+31*t^4-25*t^5+14*t^6-5*t^7+t^8
285,11a_36,Y,N,2-12*t+28*t^2-37*t^3+28*t^4-12*t^5+2*t^6
286,11a_37,Y,N,2-9*t+21*t^2-29*t^3+21*t^4-9*t^5+2*t^6
287,11a_38,Y,N,2-11*t+27*t^2-37*t^3+27*t^4-11*t^5+2*t^6
288,11a_39,Y,N,3-12*t+22*t^2-27*t^3+22*t^4-12*t^5+3*t^6
289,11a_40,Y,N,1-5*t+12*t^2-17*t^3+19*t^4-17*t^5+12*t^6-5*t^7+t^8
290,11a_41,Y,N,2-11*t+27*t^2-35*t^3+27*t^4-11*t^5+2*t^6
291,11a_42,Y,N,1-9*t+26*t^2-35*t^3+26*t^4-9*t^5+t^6
292,11a_43,Y,Y,4-15*t+30*t^2-37*t^3+30*t^4-15*t^5+4*t^6
293,11a_44,Y,N,1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
294,11a_45,Y,N,6-22*t+31*t^2-22*t^3+6*t^4
295,11a_46,Y,N,2-9*t+20*t^2-25*t^3+20*t^4-9*t^5+2*t^6
296,11a_47,Y,N,1-5*t+14*t^2-24*t^3+29*t^4-24*t^5+14*t^6-5*t^7+t^8
297,11a_48,Y,N,2-12*t+26*t^2-33*t^3+26*t^4-12*t^5+2*t^6
298,11a_49,Y,N,3-13*t+23*t^2-27*t^3+23*t^4-13*t^5+3*t^6
299,11a_50,Y,N,5-21*t+31*t^2-21*t^3+5*t^4
300,11a_51,Y,N,1-9*t+28*t^2-39*t^3+28*t^4-9*t^5+t^6
301,11a_52,Y,N,2-13*t+32*t^2-43*t^3+32*t^4-13*t^5+2*t^6
302,11a_53,Y,N,1-6*t+14*t^2-18*t^3+19*t^4-18*t^5+14*t^6-6*t^7+t^8
303,11a_54,Y,N,2-13*t+33*t^2-43*t^3+33*t^4-13*t^5+2*t^6
304,11a_55,Y,N,1-5*t+10*t^2-13*t^3+13*t^4-13*t^5+10*t^6-5*t^7+t^8
305,11a_56,Y,N,2-11*t+25*t^2-33*t^3+25*t^4-11*t^5+2*t^6
306,11a_57,Y,N,1-5*t+12*t^2-20*t^3+23*t^4-20*t^5+12*t^6-5*t^7+t^8
307,11a_58,Y,N,2-9*t+18*t^2-23*t^3+18*t^4-9*t^5+2*t^6
308,11a_59,Y,N,3-11*t+15*t^2-11*t^3+3*t^4
309,11a_60,Y,N,3-12*t+18*t^2-19*t^3+18*t^4-12*t^5+3*t^6
310,11a_61,Y,N,6-26*t+39*t^2-26*t^3+6*t^4
311,11a_62,Y,N,1-5*t+8*t^2-9*t^3+9*t^4-9*t^5+8*t^6-5*t^7+t^8
312,11a_63,Y,N,2-11*t+21*t^2-25*t^3+21*t^4-11*t^5+2*t^6
313,11a_64,Y,N,2-11*t+22*t^2-27*t^3+22*t^4-11*t^5+2*t^6
314,11a_65,Y,N,3-15*t+23*t^2-15*t^3+3*t^4
315,11a_66,Y,N,1-6*t+15*t^2-24*t^3+27*t^4-24*t^5+15*t^6-6*t^7+t^8
316,11a_67,Y,N,2-12*t+29*t^2-39*t^3+29*t^4-12*t^5+2*t^6
317,11a_68,Y,N,1-6*t+14*t^2-20*t^3+21*t^4-20*t^5+14*t^6-6*t^7+t^8
318,11a_69,Y,N,2-13*t+33*t^2-45*t^3+33*t^4-13*t^5+2*t^6
319,11a_70,Y,N,2-14*t+36*t^2-47*t^3+36*t^4-14*t^5+2*t^6
320,11a_71,Y,N,1-6*t+18*t^2-34*t^3+41*t^4-34*t^5+18*t^6-6*t^7+t^8
321,11a_72,Y,N,1-6*t+18*t^2-32*t^3+39*t^4-32*t^5+18*t^6-6*t^7+t^8
